Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-02 04:00:00,9.4,1,2,1,4,0
2024-01-02 04:05:00,9.7,1,2,1,4,5
2024-01-02 04:10:00,9.7,1,2,1,4,10
2024-01-02 04:15:00,10.0,1,2,1,4,15
2024-01-02 04:20:00,10.0,1,2,1,4,20
2024-01-02 04:25:00,10.0,1,2,1,4,25
2024-01-02 04:30:00,10.2,1,2,1,4,30
2024-01-02 04:35:00,8.3,1,2,1,4,35
2024-01-02 04:40:00,8.3,1,2,1,4,40
2024-01-02 04:45:00,8.3,1,2,1,4,45
2024-01-02 04:50:00,8.1,1,2,1,4,50
2024-01-02 04:55:00,8.1,1,2,1,4,55
2024-01-02 05:00:00,9.4,1,2,1,5,0
2024-01-02 05:05:00,9.4,1,2,1,5,5
2024-01-02 05:10:00,10.5,1,2,1,5,10
2024-01-02 05:15:00,10.5,1,2,1,5,15
2024-01-02 05:20:00,10.5,1,2,1,5,20
2024-01-02 05:25:00,9.7,1,2,1,5,25
2024-01-02 05:30:00,11.2,1,2,1,5,30
2024-01-02 05:35:00,11.2,1,2,1,5,35
2024-01-02 05:40:00,11.2,1,2,1,5,40
2024-01-02 05:45:00,10.5,1,2,1,5,45
2024-01-02 05:50:00,12.0,1,2,1,5,50
2024-01-02 05:55:00,12.0,1,2,1,5,55
2024-01-02 06:00:00,12.0,1,2,1,6,0
2024-01-02 06:05:00,11.2,1,2,1,6,5
2024-01-02 06:10:00,11.2,1,2,1,6,10
2024-01-02 06:15:00,11.2,1,2,1,6,15
2024-01-02 06:20:00,11.6,1,2,1,6,20
2024-01-02 06:25:00,13.8,1,2,1,6,25
2024-01-02 06:30:00,13.8,1,2,1,6,30
2024-01-02 06:35:00,13.8,1,2,1,6,35
2024-01-02 06:40:00,14.4,1,2,1,6,40
2024-01-02 06:45:00,14.4,1,2,1,6,45
2024-01-02 06:50:00,14.4,1,2,1,6,50
2024-01-02 06:55:00,14.4,1,2,1,6,55
2024-01-02 07:00:00,17.1,1,2,1,7,0
2024-01-02 07:05:00,18.9,1,2,1,7,5
2024-01-02 07:10:00,21.2,1,2,1,7,10
2024-01-02 07:15:00,21.2,1,2,1,7,15
2024-01-02 07:20:00,16.3,1,2,1,7,20
2024-01-02 07:25:00,16.3,1,2,1,7,25
2024-01-02 07:30:00,16.3,1,2,1,7,30
2024-01-02 07:35:00,24.0,1,2,1,7,35
2024-01-02 07:40:00,24.0,1,2,1,7,40
2024-01-02 07:45:00,21.1,1,2,1,7,45
2024-01-02 07:50:00,21.1,1,2,1,7,50
2024-01-02 07:55:00,27.7,1,2,1,7,55
2024-01-02 08:00:00,27.7,1,2,1,8,0
2024-01-02 08:05:00,27.7,1,2,1,8,5
2024-01-02 08:10:00,27.7,1,2,1,8,10
2024-01-02 08:15:00,27.7,1,2,1,8,15
2024-01-02 08:20:00,25.7,1,2,1,8,20
2024-01-02 08:25:00,32.7,1,2,1,8,25
2024-01-02 08:30:00,24.0,1,2,1,8,30
2024-01-02 08:35:00,24.0,1,2,1,8,35
2024-01-02 08:40:00,21.1,1,2,1,8,40
2024-01-02 08:45:00,21.1,1,2,1,8,45
2024-01-02 08:50:00,25.7,1,2,1,8,50
2024-01-02 08:55:00,24.0,1,2,1,8,55
2024-01-02 09:00:00,32.7,1,2,1,9,0
2024-01-02 09:05:00,22.5,1,2,1,9,5
2024-01-02 09:10:00,22.5,1,2,1,9,10
2024-01-02 09:15:00,25.7,1,2,1,9,15
2024-01-02 09:20:00,32.7,1,2,1,9,20
